commit_hash,index,x_size,y_size,i_size,mean_ms,stddev_ms
55c5d1a,304,512,512,8,148,0
55c5d1a,305,512,512,16,148,0
55c5d1a,306,512,512,32,148,0
55c5d1a,307,512,512,64,148,0
55c5d1a,308,512,512,128,147,0
55c5d1a,309,512,512,256,147,0
55c5d1a,31,2,1024,1,206,1
55c5d1a,310,512,512,512,147,0
55c5d1a,311,512,1024,1,249,0
55c5d1a,312,512,1024,2,283,0
55c5d1a,313,512,1024,4,249,0
55c5d1a,314,512,1024,8,249,0
55c5d1a,315,512,1024,16,249,0
55c5d1a,316,512,1024,32,208,0
55c5d1a,317,512,1024,64,249,0
55c5d1a,318,512,1024,128,249,0
55c5d1a,319,512,1024,256,249,0
55c5d1a,32,2,1024,2,142,2
55c5d1a,320,512,1024,512,249,0
55c5d1a,321,512,2048,1,452,1
55c5d1a,322,512,2048,2,452,1
55c5d1a,323,512,2048,4,452,0
55c5d1a,324,512,2048,8,452,1
55c5d1a,325,512,2048,16,453,0
55c5d1a,326,512,2048,32,452,0
55c5d1a,327,512,2048,64,452,0
55c5d1a,328,512,2048,128,452,0
55c5d1a,329,512,2048,256,452,0
55c5d1a,33,2,2048,1,284,2
55c5d1a,330,512,2048,512,452,0
55c5d1a,331,1024,1024,1,296,0
55c5d1a,332,1024,1024,2,296,0
55c5d1a,333,1024,1024,4,296,0
55c5d1a,334,1024,1024,8,296,0
55c5d1a,335,1024,1024,16,336,0
55c5d1a,336,1024,1024,32,296,0
55c5d1a,337,1024,1024,64,296,0
55c5d1a,338,1024,1024,128,296,0
55c5d1a,339,1024,1024,256,249,0
55c5d1a,34,2,2048,2,244,0
55c5d1a,340,1024,1024,512,296,0
55c5d1a,341,1024,1024,1024,295,0
55c5d1a,342,1024,2048,1,500,0
55c5d1a,343,1024,2048,2,500,0
55c5d1a,344,1024,2048,4,500,0
55c5d1a,345,1024,2048,8,500,0
55c5d1a,346,1024,2048,16,500,0
55c5d1a,347,1024,2048,32,500,0
55c5d1a,348,1024,2048,64,500,0
55c5d1a,349,1024,2048,128,500,0
55c5d1a,35,4,4,1,1,0
55c5d1a,350,1024,2048,256,500,0
55c5d1a,351,1024,2048,512,403,0
55c5d1a,352,1024,2048,1024,500,0
55c5d1a,353,2048,2048,1,595,0
55c5d1a,354,2048,2048,2,500,0
55c5d1a,355,2048,2048,4,596,1
55c5d1a,356,2048,2048,8,595,0
55c5d1a,357,2048,2048,16,676,0
55c5d1a,358,2048,2048,32,527,2
55c5d1a,359,2048,2048,64,596,0
55c5d1a,36,4,4,2,1,0
55c5d1a,360,2048,2048,128,595,0
55c5d1a,361,2048,2048,256,595,0
55c5d1a,362,2048,2048,512,594,0
55c5d1a,363,2048,2048,1024,594,0
55c5d1a,364,2048,2048,2048,592,0
55c5d1a,37,4,4,4,1,0
55c5d1a,38,4,8,1,2,0
55c5d1a,39,4,8,2,2,0
55c5d1a,4,1,8,1,2,0
55c5d1a,40,4,8,4,2,0
55c5d1a,41,4,16,1,4,0
55c5d1a,42,4,16,2,4,0
55c5d1a,43,4,16,4,4,0
55c5d1a,44,4,32,1,7,0
55c5d1a,45,4,32,2,7,0
55c5d1a,46,4,32,4,7,0
55c5d1a,47,4,64,1,13,0
55c5d1a,48,4,64,2,13,0
55c5d1a,49,4,64,4,13,0
55c5d1a,5,1,16,1,3,0
55c5d1a,50,4,128,1,26,0
55c5d1a,51,4,128,2,26,0
55c5d1a,52,4,128,4,26,0
55c5d1a,53,4,256,1,42,0
55c5d1a,54,4,256,2,42,0
55c5d1a,55,4,256,4,51,0
55c5d1a,56,4,512,1,102,0
55c5d1a,57,4,512,2,102,0
55c5d1a,58,4,512,4,102,0
55c5d1a,59,4,1024,1,211,1
55c5d1a,6,1,32,1,6,0
55c5d1a,60,4,1024,2,204,0
55c5d1a,61,4,1024,4,204,0
55c5d1a,62,4,2048,1,406,1
55c5d1a,63,4,2048,2,406,1
55c5d1a,64,4,2048,4,405,1
55c5d1a,65,8,8,1,3,0
55c5d1a,66,8,8,2,2,0
55c5d1a,67,8,8,4,3,0
55c5d1a,68,8,8,8,3,0
55c5d1a,69,8,16,1,4,0
55c5d1a,7,1,64,1,14,0
55c5d1a,70,8,16,2,3,0
55c5d1a,71,8,16,4,4,0
55c5d1a,72,8,16,8,4,0
55c5d1a,73,8,32,1,6,0
55c5d1a,74,8,32,2,7,0
55c5d1a,75,8,32,4,7,0
55c5d1a,76,8,32,8,7,0
55c5d1a,77,8,64,1,14,0
55c5d1a,78,8,64,2,14,0
55c5d1a,79,8,64,4,14,0
55c5d1a,8,1,128,1,18,0
55c5d1a,80,8,64,8,14,0
55c5d1a,81,8,128,1,26,0
55c5d1a,82,8,128,2,26,0
55c5d1a,83,8,128,4,26,0
55c5d1a,84,8,128,8,26,0
55c5d1a,85,8,256,1,51,0
55c5d1a,86,8,256,2,43,0
55c5d1a,87,8,256,4,43,0
55c5d1a,88,8,256,8,51,0
55c5d1a,89,8,512,1,102,0
55c5d1a,9,1,256,1,41,0
55c5d1a,90,8,512,2,102,0
55c5d1a,91,8,512,4,116,0
55c5d1a,92,8,512,8,102,0
55c5d1a,93,8,1024,1,203,0
55c5d1a,94,8,1024,2,203,0
55c5d1a,95,8,1024,4,203,0
55c5d1a,96,8,1024,8,203,0
55c5d1a,97,8,2048,1,405,0
55c5d1a,98,8,2048,2,406,0
55c5d1a,99,8,2048,4,405,0
